school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
CREEK VIEW ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0742,-84.242,Yes participating without using any Provision or the CEO,884,48,1,188,64,66,514,3
CREEKLAND MIDDLE SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.2358,-84.3332,Yes participating without using any Provision or the CEO,1476,44,0,1249,42,132,9,0
CREEKLAND MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0011,-84.008,Yes participating without using any Provision or the CEO,1916,114,3,345,631,609,214,0
CREEKSIDE HIGH SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.5585,-84.6277,Yes participating without using any Provision or the CEO,1804,28,0,18,1589,159,5,5
CREEKSIDE SCHOOL,Georgia,1.3027E+11,1302700,Yes,Yes,5-Title I schoolwide school,32.674644,-84.920493,Yes participating without using any Provision or the CEO,808,35,1,583,127,57,4,1
CREEKVIEW HIGH SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.2363,-84.3365,Yes participating without using any Provision or the CEO,2090,43,0,1796,47,183,20,1
CRESCENT ROAD ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.23241,-84.263495,Yes participating without using any Provision or the CEO,380,23,0,212,113,22,8,2
CREWS MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.9071,-84.0088,Yes participating without using any Provision or the CEO,1385,59,1,430,469,161,260,5
CRISP COUNTY ELEMENTARY SCHOOL,Georgia,1.30156E+11,1301560,Yes,Yes,5-Title I schoolwide school,31.9544,-83.7966,Yes under Community Eligibility Option (CEO),541,16,0,170,319,32,3,1
CRISP COUNTY HIGH SCHOOL,Georgia,1.30156E+11,1301560,Yes,Yes,5-Title I schoolwide school,31.9441,-83.7515,Yes under Community Eligibility Option (CEO),1062,30,0,365,591,60,14,2
CRISP COUNTY MIDDLE SCHOOL,Georgia,1.30156E+11,1301560,Yes,Yes,5-Title I schoolwide school,31.954,-83.7635,Yes under Community Eligibility Option (CEO),904,27,2,262,546,51,16,0
CRISP COUNTY PRE-K,Georgia,1.30156E+11,1301560,,No,6-Not a Title I school,31.954259,-83.770109,Yes under Community Eligibility Option (CEO),239,12,0,70,143,12,2,0
CRISP COUNTY PRIMARY SCHOOL,GEORGIA,1.30156E+11,1301560,Yes,Yes,5-Title I schoolwide school,31.92353,-83.752159,Yes under Community Eligibility Option (CEO),1024,49,0,299,601,60,12,3
CRISP RYDC,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,31.925887,-83.781056,Yes participating without using any Provision or the CEO,12,0,1,1,10,0,0,0
CROOKED RIVER ELEMENTARY SCHOOL,Georgia,1.30078E+11,1300780,Yes,Yes,5-Title I schoolwide school,30.802673,-81.574485,No,523,54,2,288,95,80,4,0
CROSS CREEK ELEMENTARY SCHOOL,Georgia,1.30489E+11,1304890,Yes,Yes,5-Title I schoolwide school,30.866642,-83.948361,Yes under Community Eligibility Option (CEO),807,31,2,406,290,67,7,4
CROSS CREEK HIGH SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.356,-82.0016,Yes under Community Eligibility Option (CEO),1034,49,3,262,659,55,2,4
CROSS KEYS HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8439,-84.338,Yes participating without using any Provision or the CEO,1699,4,1,7,61,1534,85,7
CUMMING ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,Yes,Yes,5-Title I schoolwide school,34.2206,-84.1354,Yes participating without using any Provision or the CEO,924,24,0,356,39,489,12,4
D.E.L.T.A. STEAM ACADEMY,GEORGIA,1.30026E+11,1300262,No,Yes,2-Title I targeted assistance school,33.780842,-84.638133,No,90,0,0,0,89,1,0,0
DAC (DODGE COUNTY ACHIEVEMENT CENTER),GEORGIA,1.30177E+11,1301770,No,Yes,2-Title I targeted assistance school,32.184317,-83.188233,Yes participating without using any Provision or the CEO,36,1,0,21,13,1,0,0
DACULA ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.9998,-83.9034,Yes participating without using any Provision or the CEO,1093,76,1,347,352,264,52,1
DACULA HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.9908,-83.9008,Yes participating without using any Provision or the CEO,2349,86,2,549,1056,553,100,3
DACULA MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.9913,-83.8947,Yes participating without using any Provision or the CEO,1812,72,1,399,851,424,64,1
DADE COUNTY HIGH SCHOOL,Georgia,1.30159E+11,1301590,,No,6-Not a Title I school,34.8599,-85.5071,Yes participating without using any Provision or the CEO,630,12,0,587,7,18,5,1
DADE ELEMENTARY SCHOOL,Georgia,1.30159E+11,1301590,Yes,Yes,5-Title I schoolwide school,34.8733,-85.5124,Yes participating without using any Provision or the CEO,748,17,0,702,3,14,12,0
DADE MIDDLE SCHOOL,Georgia,1.30159E+11,1301590,,No,6-Not a Title I school,34.8722,-85.5185,Yes participating without using any Provision or the CEO,465,11,0,428,3,17,3,3
DALLAS ELEMENTARY SCHOOL,Georgia,1.30402E+11,1304020,Yes,Yes,5-Title I schoolwide school,33.9161,-84.8324,Yes participating without using any Provision or the CEO,433,44,3,148,179,56,2,1
DALTON HIGH SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.7795,-84.9861,Yes participating without using any Provision or the CEO,2104,52,0,408,92,1497,55,0
DALTON MIDDLE SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.7915,-84.938,Yes under Provision 2,1759,48,1,349,72,1236,51,2
DAMES FERRY ELEMENTARY SCHOOL,Georgia,1.30315E+11,1303150,Yes,Yes,5-Title I schoolwide school,32.986,-83.6027,Yes participating without using any Provision or the CEO,627,26,1,500,79,15,4,2
DANIELL MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.022,-84.5317,Yes participating without using any Provision or the CEO,969,58,0,276,314,247,71,3
DANIELSVILLE ELEMENTARY SCHOOL,Georgia,1.30348E+11,1303480,Yes,Yes,5-Title I schoolwide school,34.118,-83.2075,No,583,22,2,469,23,60,6,1
DAVES CREEK ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.1365,-84.1425,Yes participating without using any Provision or the CEO,1199,18,1,141,35,56,936,12
DAVID A. PERDUE ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.5494,-83.671,Yes participating without using any Provision or the CEO,605,70,0,268,199,50,18,0
DAVID A. PERDUE PRIMARY,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.547891,-83.673915,Yes participating without using any Provision or the CEO,698,55,0,318,218,88,19,0
DAVID L RAINER ELEMENTARY SCHOOL,Georgia,1.30078E+11,1300780,Yes,Yes,5-Title I schoolwide school,30.7773,-81.6648,No,493,50,0,293,93,52,5,0
DAVID T HOWARD MIDDLE SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.758849,-84.369043,Yes participating without using any Provision or the CEO,1189,83,0,607,371,97,26,5
DAVIDSON MAGNET SCHOOL,Georgia,1.30438E+11,1304380,,No,6-Not a Title I school,33.4738,-81.9759,Yes participating without using any Provision or the CEO,829,34,8,353,361,42,31,0
DAVIS ELEMENTARY SCHOOL,Georgia,1.30159E+11,1301590,Yes,Yes,5-Title I schoolwide school,34.8856,-85.5485,Yes participating without using any Provision or the CEO,258,10,0,240,1,4,1,2
DAVIS ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4573,-84.9657,Yes under Community Eligibility Option (CEO),277,5,0,6,259,7,0,0
DAVIS ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0733,-84.4789,Yes participating without using any Provision or the CEO,559,29,0,384,37,56,52,1
DAWNVILLE ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.8205,-84.878,Yes participating without using any Provision or the CEO,449,12,0,184,6,242,4,1
DAWSON COUNTY HIGH SCHOOL,Georgia,1.30165E+11,1301650,,No,6-Not a Title I school,34.4138,-84.1036,Yes participating without using any Provision or the CEO,810,10,0,714,6,74,4,2
DAWSON COUNTY JUNIOR HIGH,Georgia,1.30165E+11,1301650,,No,6-Not a Title I school,34.4202,-84.1131,Yes participating without using any Provision or the CEO,580,12,0,486,3,69,7,3
DAWSON COUNTY MIDDLE SCHOOL,Georgia,1.30165E+11,1301650,,No,6-Not a Title I school,34.3546,-84.1154,Yes participating without using any Provision or the CEO,591,6,0,518,4,59,2,2
DAWSON ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4447,-84.9072,Yes under Community Eligibility Option (CEO),310,21,0,3,275,11,0,0
DEAN RUSK MIDDLE SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.173457,-84.423741,Yes participating without using any Provision or the CEO,1520,61,1,1089,95,243,30,1
DEARING ELEMENTARY SCHOOL,Georgia,1.30357E+11,1303570,Yes,Yes,5-Title I schoolwide school,33.4238,-82.3852,Yes under Community Eligibility Option (CEO),437,27,0,262,104,44,0,0
DECATUR HIGH SCHOOL,Georgia,1.30168E+11,1301680,,No,6-Not a Title I school,33.770879,-84.296993,Yes participating without using any Provision or the CEO,1686,110,5,1007,391,112,59,2
DEER CHASE ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.371,-82.0998,Yes under Community Eligibility Option (CEO),504,12,2,12,463,12,2,1
DEERWOOD ACADEMY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.6707,-84.5133,Yes under Community Eligibility Option (CEO),568,2,0,4,546,13,2,1
DEKALB AGRICULTURE TECHNOLOGY AND ENVIRONMENT SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8244,-84.1994,Yes participating without using any Provision or the CEO,769,13,0,0,689,53,14,0
DEKALB ALTERNATIVE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.798459,-84.198287,Yes under Community Eligibility Option (CEO),79,0,0,1,64,13,1,0
DEKALB EARLY COLLEGE ACADEMY,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.832509,-84.194863,Yes participating without using any Provision or the CEO,310,5,2,7,240,34,22,0
DEKALB ELEMENTARY SCHOOL OF THE ARTS,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.77892,-84.260847,Yes participating without using any Provision or the CEO,612,18,0,35,538,17,3,1
DEKALB PATH ACADEMY CHARTER SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8758,-84.3379,Yes participating without using any Provision or the CEO,368,0,0,1,52,295,20,0
DEKALB PREPARATORY ACADEMY CHARTER,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7518,-84.2329,Yes participating without using any Provision or the CEO,565,3,0,1,544,16,1,0
DEKALB REGIONAL YOUTH DETENTION CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.691519,-84.275848,Yes participating without using any Provision or the CEO,4,0,0,0,4,0,0,0
DEKALB SCHOOL OF THE ARTS,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.7595,-84.2673,Yes participating without using any Provision or the CEO,411,19,0,147,225,10,10,0
DELTA INNOVATIVE SCHOOL,GEORGIA,1.30054E+11,1300540,Yes,Yes,5-Title I schoolwide school,30.799619,-83.576309,Yes under Community Eligibility Option (CEO),93,1,0,17,71,4,0,0
DEMOREST ELEMENTARY SCHOOL,Georgia,1.30258E+11,1302580,Yes,Yes,5-Title I schoolwide school,34.5616,-83.5273,No,497,20,2,325,6,125,15,4
DENMARK HIGH SCHOOL,GEORGIA,1.30222E+11,1302220,,No,6-Not a Title I school,34.147103,-84.229839,Yes participating without using any Provision or the CEO,2272,74,2,993,195,404,597,7
DEPARTMENT OF CORRECTIONS,Georgia,1.30003E+11,1300025,,No,6-Not a Title I school,33.033175,-83.92445,No,49,0,0,8,39,2,0,0
DEPARTMENT OF HUMAN RESOURCES,Georgia,1.30003E+11,1300027,,No,6-Not a Title I school,33.7542,-84.3906,No,0,0,0,0,0,0,0,0
DERENNE MIDDLE SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.0458,-81.1181,No,652,5,0,6,620,19,2,0
DESANA MIDDLE SCHOOL,GEORGIA,1.30222E+11,1302220,,No,6-Not a Title I school,34.12939,-84.238405,Yes participating without using any Provision or the CEO,1067,26,0,323,112,259,342,5
DEVEREUX ACKERMAN ACADEMY,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.987151,-84.608978,Yes participating without using any Provision or the CEO,72,5,0,29,35,3,0,0
DEWAR ELEMENTARY,Georgia,1.30339E+11,1303390,,No,6-Not a Title I school,30.8895,-83.2637,Yes participating without using any Provision or the CEO,756,63,1,323,264,90,14,1
DIAMOND LAKES ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.369,-82.078157,Yes under Community Eligibility Option (CEO),512,20,1,43,420,25,3,0
DICKERSON MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.9694,-84.4172,Yes participating without using any Provision or the CEO,1270,42,1,794,67,75,289,2
DIMON ELEMENTARY,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4545,-84.9211,Yes under Community Eligibility Option (CEO),355,24,0,8,299,24,0,0
DISCOVERY HIGH SCHOOL,GEORGIA,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.955305,-84.034354,Yes participating without using any Provision or the CEO,2780,44,5,146,915,1403,264,3
DOBBS ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.6983,-84.3725,Yes under Community Eligibility Option (CEO),377,2,1,1,353,19,1,0
DODGE COUNTY HIGH SCHOOL,Georgia,1.30177E+11,1301770,Yes,Yes,5-Title I schoolwide school,32.205286,-83.194465,Yes participating without using any Provision or the CEO,853,28,0,493,274,49,8,1
DODGE COUNTY MIDDLE SCHOOL,Georgia,1.30177E+11,1301770,Yes,Yes,5-Title I schoolwide school,32.20512,-83.187955,Yes under Community Eligibility Option (CEO),709,34,2,401,236,33,1,2
DODGEN MIDDLE SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.9911,-84.445,Yes participating without using any Provision or the CEO,1231,44,0,750,62,80,293,2
DOERUN ELEMENTARY SCHOOL,Georgia,1.30138E+11,1301380,Yes,Yes,5-Title I schoolwide school,31.327491,-83.91731,Yes under Community Eligibility Option (CEO),281,20,0,135,70,53,3,0
DOLVIN ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0363,-84.2327,Yes participating without using any Provision or the CEO,700,47,0,316,56,65,216,0
DOOLY COUNTY ELEMENTARY SCHOOL,Georgia,1.3018E+11,1301800,Yes,Yes,5-Title I schoolwide school,32.1848,-83.7665,Yes under Community Eligibility Option (CEO),547,13,0,44,380,107,2,1
DOOLY COUNTY HIGH SCHOOL,Georgia,1.3018E+11,1301800,Yes,Yes,5-Title I schoolwide school,32.103759,-83.799753,Yes under Community Eligibility Option (CEO),349,2,0,28,252,63,2,2
DOOLY COUNTY MIDDLE SCHOOL,Georgia,1.3018E+11,1301800,Yes,Yes,5-Title I schoolwide school,32.1848,-83.7665,Yes under Community Eligibility Option (CEO),283,5,0,29,184,64,1,0
DOOLY COUNTY PREP ACADEMY,GEORGIA,1.3018E+11,1301800,No,Yes,2-Title I targeted assistance school,32.093044,-83.783882,Yes under Community Eligibility Option (CEO),6,0,0,0,6,0,0,0
DORAVILLE UNITED ELEMENTARY SCHOOL,GEORGIA,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.89599,-84.286431,Yes participating without using any Provision or the CEO,685,0,0,0,8,665,11,1
DOROTHY HAINS ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.4116,-82.014,Yes under Community Eligibility Option (CEO),459,7,1,35,395,21,0,0
DOROTHY HEIGHT ELEMENTARY SCHOOL,GEORGIA,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.424893,-84.943962,Yes under Community Eligibility Option (CEO),505,21,0,14,441,28,0,1
DORSETT SHOALS ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.6833,-84.7661,Yes participating without using any Provision or the CEO,445,37,1,148,154,101,2,2
DOUBLE CHURCHES ELEMENTARY SCHOOL,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.557276,-84.975233,Yes participating without using any Provision or the CEO,568,36,1,300,153,55,16,7
DOUBLE CHURCHES MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5587,-84.9744,Yes under Community Eligibility Option (CEO),490,32,0,162,249,42,5,0
DOUGHERTY COMPREHENSIVE HIGH SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5669,-84.1011,Yes under Community Eligibility Option (CEO),1109,17,1,37,1000,46,0,8
DOUGLAS COUNTY HIGH SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7431,-84.7435,Yes participating without using any Provision or the CEO,1995,86,4,211,1358,291,44,1
DOUGLASS HIGH SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7612,-84.4681,Yes under Community Eligibility Option (CEO),1141,6,1,3,1082,48,0,1
DOVE CREEK ELEMENTARY SCHOOL,GEORGIA,1.30396E+11,1303960,,No,6-Not a Title I school,33.918543,-83.607795,Yes participating without using any Provision or the CEO,572,26,0,463,22,28,33,0
DOWELL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.9025,-84.6336,Yes participating without using any Provision or the CEO,892,50,0,118,351,348,23,2
DOWNTOWN ELEMENTARY MAGNET ACADEMY,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.4734,-84.9913,Yes under Community Eligibility Option (CEO),289,18,0,19,234,18,0,0
DR. GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,Georgia,1.30057E+11,1300570,,No,6-Not a Title I school,31.9372,-81.3124,Yes participating without using any Provision or the CEO,626,34,1,344,111,103,30,3
DRESDEN ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8693,-84.2921,Yes participating without using any Provision or the CEO,583,0,0,2,5,553,18,5
DRUID HILLS HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7933,-84.3157,Yes participating without using any Provision or the CEO,1332,45,3,407,537,183,153,4
DRUID HILLS MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8193,-84.273,Yes participating without using any Provision or the CEO,947,26,4,237,427,151,99,3
DUBLIN HIGH SCHOOL,Georgia,1.30187E+11,1301870,Yes,Yes,5-Title I schoolwide school,32.545976,-82.945233,Yes under Community Eligibility Option (CEO),558,12,0,35,499,9,3,0
DUBLIN MIDDLE SCHOOL,Georgia,1.30187E+11,1301870,Yes,Yes,5-Title I schoolwide school,32.5691,-82.922,Yes under Community Eligibility Option (CEO),666,14,0,34,596,16,6,0
DUBOIS INTEGRITY ACADEMY,GEORGIA,1.30024E+11,1300237,Yes,Yes,5-Title I schoolwide school,33.578028,-84.417153,Yes under Community Eligibility Option (CEO),899,21,1,2,830,34,10,1
DUE WEST ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.9701,-84.6673,Yes participating without using any Provision or the CEO,544,50,0,353,70,56,15,0
DUG GAP ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.7334,-85.0006,Yes participating without using any Provision or the CEO,378,7,0,114,3,251,2,1
DULUTH HIGH SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,34.01,-84.1438,Yes participating without using any Provision or the CEO,2690,91,0,359,762,1097,381,0
DULUTH MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.987,-84.1584,Yes participating without using any Provision or the CEO,1393,50,2,110,334,717,177,3
DUNAIRE ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7799,-84.2289,Yes under Community Eligibility Option (CEO),426,8,0,17,268,24,107,2
DUNBAR ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.741544,-84.401347,Yes under Community Eligibility Option (CEO),283,3,0,0,272,6,0,2
DUNCAN CREEK ELEMENTARY,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0758,-83.8716,Yes participating without using any Provision or the CEO,1167,62,1,605,213,183,101,2
DUNLEITH ELEMENTARY SCHOOL,Georgia,1.30351E+11,1303510,Yes,Yes,5-Title I schoolwide school,33.9177,-84.559,Yes participating without using any Provision or the CEO,546,28,0,15,285,214,3,1
DUNWOODY ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.9416,-84.3083,Yes participating without using any Provision or the CEO,934,56,0,304,149,72,342,11
DUNWOODY HIGH SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.9455,-84.3153,Yes participating without using any Provision or the CEO,2148,49,3,958,318,656,157,7
